      CASEID, YEAR, CAPPUN, GUNLAW, SEX, ABRAPE, CONFINAN, SATJOB
2006 158,2006,2,0,2,0,2,2
2006 159,2006,0,0,2,0,0,0
2006 160,2006,8,0,2,0,2,1
2006 161,2006,1,0,1,0,1,1
2006 162,2006,8,0,2,0,2,2
2006 163,2006,0,0,2,0,0,0
2006 164,2006,1,1,1,1,0,2
2006 165,2006,2,0,2,0,8,2
2006 166,2006,2,1,2,1,0,2
2006 167,2006,1,1,2,1,0,8
2006 168,2006,0,0,2,0,0,0
2006 169,2006,2,1,1,1,3,1
2006 170,2006,0,0,1,0,0,0
2006 171,2006,0,0,2,0,0,0
2006 172,2006,0,0,2,0,0,0
2006 173,2006,1,1,2,1,1,3
2006 174,2006,0,0,2,0,0,0
2006 175,2006,0,0,2,0,0,0
2006 176,2006,1,1,2,1,0,2
2006 177,2006,1,1,2,1,0,0
2006 178,2006,1,1,1,1,0,0
2006 179,2006,0,0,2,0,0,0
2006 180,2006,1,1,1,1,2,2
2006 181,2006,2,0,1,0,3,0
2006 182,2006,2,0,2,0,1,0
2006 183,2006,1,1,1,1,0,2
2006 184,2006,1,1,2,1,0,2
2006 185,2006,0,0,2,0,0,0
2006 186,2006,2,1,1,1,0,1
2006 187,2006,0,0,2,0,0,0
2006 188,2006,1,0,2,0,3,0
2006 189,2006,1,1,1,1,2,1
2006 190,2006,1,0,2,0,1,0
2006 191,2006,0,0,2,0,0,0
2006 192,2006,0,0,2,0,0,0
2006 193,2006,1,1,2,1,0,8
2006 194,2006,1,2,1,8,0,2
2006 195,2006,2,2,1,2,0,0
2006 196,2006,8,1,2,1,0,1
2006 197,2006,1,0,1,0,2,1
2006 198,2006,2,1,2,2,2,0
2006 199,2006,1,0,2,0,1,2
2006 200,2006,1,1,2,1,2,3
2006 201,2006,1,0,2,0,2,2
2006 202,2006,1,0,2,0,2,1
2006 203,2006,1,8,1,1,1,0
2006 204,2006,2,0,2,0,2,2
2006 205,2006,1,0,2,0,2,0
2006 206,2006,2,1,2,2,2,1
2006 207,2006,0,0,2,0,0,0
2006 208,2006,0,0,2,0,0,0
2006 209,2006,1,1,2,1,0,1
2006 210,2006,1,1,1,1,0,2
2006 211,2006,1,0,2,0,2,1
2006 212,2006,2,1,2,2,1,0
2006 213,2006,1,1,1,1,3,1
2006 214,2006,2,1,2,1,2,2
2006 215,2006,0,0,2,0,0,0
2006 216,2006,0,0,1,0,0,0
2006 217,2006,0,0,2,0,0,0
2006 218,2006,2,0,2,0,2,1
2006 219,2006,0,0,2,0,0,0
2006 220,2006,0,0,1,0,0,0
2006 221,2006,1,0,1,0,1,2
2006 222,2006,0,0,2,0,0,0
2006 223,2006,1,0,1,0,2,2
2006 224,2006,2,1,1,1,2,2
2006 225,2006,0,0,1,0,0,0
2006 226,2006,0,0,2,0,0,0
2006 227,2006,0,0,1,0,0,0
2006 228,2006,1,1,1,1,2,2
2006 229,2006,1,0,1,0,1,2
2006 230,2006,2,1,2,2,3,9
2006 231,2006,1,1,2,1,2,9
2006 232,2006,0,0,2,0,0,0
2006 233,2006,1,0,1,0,1,2
2006 234,2006,0,0,1,0,0,0
2006 235,2006,1,0,2,0,2,2
2006 236,2006,1,0,1,0,2,2
2006 237,2006,1,2,1,1,0,0
2006 238,2006,1,0,2,0,2,1
2006 239,2006,2,1,1,2,0,1
2006 240,2006,2,1,2,2,2,2
2006 241,2006,0,0,1,0,0,0
2006 242,2006,2,1,2,2,2,2
2006 243,2006,1,1,1,1,2,1
2006 244,2006,0,0,2,0,0,0
2006 245,2006,1,1,1,2,2,1
2006 246,2006,0,0,2,0,0,0
2006 247,2006,0,0,2,0,0,0
2006 248,2006,1,1,2,2,0,1
2006 249,2006,1,1,1,1,0,0
2006 250,2006,1,0,1,0,2,0
2006 251,2006,1,0,2,0,2,2
2006 252,2006,1,1,2,1,3,3
2006 253,2006,1,0,1,0,2,0
2006 254,2006,2,1,1,1,0,1
2006 255,2006,2,1,1,1,2,1
2006 256,2006,0,0,2,0,0,0
2006 257,2006,1,0,2,0,2,2
2006 258,2006,1,0,2,0,2,1
2006 259,2006,0,0,2,0,0,0
2006 260,2006,1,2,2,2,2,2
2006 261,2006,2,1,1,1,2,1
2006 262,2006,0,0,2,0,0,0
2006 263,2006,1,0,2,0,1,2
2006 264,2006,1,0,1,0,2,1
2006 265,2006,1,1,1,1,0,2
2006 266,2006,0,0,2,0,0,0
2006 267,2006,1,0,1,0,2,0
2006 268,2006,0,0,2,0,0,0
2006 269,2006,1,1,1,1,0,1
2006 270,2006,1,1,1,1,3,2
2006 271,2006,0,0,2,0,0,0
2006 272,2006,1,2,2,1,0,0
2006 273,2006,1,0,2,0,1,8
2006 274,2006,0,0,1,0,0,0
2006 275,2006,1,1,1,1,2,2
2006 276,2006,1,0,2,0,2,0
2006 277,2006,2,1,2,8,2,0
2006 278,2006,2,2,1,2,0,2
2006 279,2006,0,0,1,0,0,0
2006 280,2006,1,1,1,1,0,1
2006 281,2006,0,0,1,0,0,0
2006 282,2006,0,0,2,0,0,0
2006 283,2006,1,2,1,1,1,0
2006 284,2006,1,1,1,1,0,1
2006 285,2006,0,0,1,0,0,0
2006 286,2006,0,0,1,0,0,0
2006 287,2006,0,0,1,0,0,0
2006 288,2006,1,0,1,0,2,3
2006 289,2006,0,0,1,0,0,0
2006 290,2006,0,0,2,0,0,0
2006 291,2006,9,0,1,0,3,4
2006 292,2006,2,1,2,1,0,2
2006 293,2006,2,0,2,0,2,2
2006 294,2006,1,0,2,0,2,2
2006 295,2006,0,0,2,0,0,0
2006 296,2006,1,1,2,2,3,2
2006 297,2006,1,2,2,1,2,0
2006 298,2006,1,0,2,0,2,0
2006 299,2006,2,1,1,1,0,2
2006 300,2006,1,8,2,1,0,2
2006 301,2006,1,1,1,1,0,1
2006 302,2006,2,0,1,0,2,2
2006 303,2006,1,1,2,1,2,2
2006 304,2006,1,0,1,0,2,1
2006 305,2006,0,0,1,0,0,0
2006 306,2006,2,2,1,1,0,2
2006 307,2006,2,1,2,1,0,3
2006 308,2006,2,0,1,0,1,0
2006 309,2006,1,1,2,2,0,1
2006 310,2006,1,1,1,1,2,1
2006 311,2006,0,0,1,0,0,0
2006 312,2006,1,1,1,1,0,2
2006 313,2006,0,0,1,0,0,0
2006 314,2006,8,1,2,1,0,1
2006 315,2006,0,0,1,0,0,0
2006 316,2006,0,0,2,0,0,0
2006 317,2006,0,0,1,0,0,0
2006 318,2006,2,1,2,1,0,2
2006 319,2006,1,1,1,1,0,2
2006 320,2006,0,0,2,0,0,0
2006 321,2006,1,0,2,0,2,2
2006 322,2006,2,0,2,0,3,1
2006 323,2006,2,1,1,2,1,1
2006 324,2006,0,0,2,0,0,0
2006 325,2006,0,0,2,0,0,0
2006 326,2006,2,2,2,8,1,0
2006 327,2006,0,0,1,0,0,0
2006 328,2006,1,1,1,1,3,1
2006 329,2006,1,1,2,2,2,0
2006 330,2006,2,0,2,0,2,1
2006 331,2006,2,1,2,1,0,0
2006 332,2006,1,1,1,1,0,0
2006 333,2006,1,2,2,1,0,0
2006 334,2006,0,0,1,0,0,0
2006 335,2006,2,1,1,1,0,4
2006 336,2006,2,1,2,1,0,0
2006 337,2006,0,0,1,0,0,0
2006 338,2006,1,1,1,1,0,2
2006 339,2006,1,0,2,0,2,1
2006 340,2006,2,0,2,0,2,0
2006 341,2006,8,1,1,1,0,2
2006 342,2006,1,1,1,1,8,0
2006 343,2006,8,8,1,1,0,0
2006 344,2006,1,1,1,1,0,2
2006 345,2006,2,0,2,0,2,1
2006 346,2006,2,0,1,0,3,1
2006 347,2006,2,1,2,1,0,0
2006 348,2006,1,0,2,0,2,2
2006 349,2006,1,1,1,1,1,0
2006 350,2006,1,1,2,1,0,1
2006 351,2006,2,1,1,1,0,2
2006 352,2006,2,0,2,0,1,2
2006 353,2006,0,0,2,0,0,0
2006 354,2006,0,0,2,0,0,0
2006 355,2006,0,0,2,0,0,0
2006 356,2006,0,0,1,0,0,0
2006 357,2006,1,0,1,0,1,2
2006 358,2006,2,2,2,1,1,2
2006 359,2006,2,1,1,2,1,1
2006 360,2006,0,0,2,0,0,0
2006 361,2006,0,0,1,0,0,0
2006 362,2006,2,0,2,0,3,2
2006 363,2006,0,0,1,0,0,0
2006 364,2006,0,0,2,0,0,0
2006 365,2006,0,0,2,0,0,0
2006 366,2006,2,0,2,0,1,1
2006 367,2006,2,2,1,2,1,3
2006 368,2006,0,0,1,0,0,0
2006 369,2006,2,0,2,0,1,1
2006 370,2006,0,0,1,0,0,0
2006 371,2006,2,1,2,2,0,0
2006 372,2006,2,0,2,0,2,2
2006 373,2006,1,1,1,1,3,2
2006 374,2006,0,0,2,0,0,0
2006 375,2006,1,0,2,0,3,3
2006 376,2006,1,1,2,2,0,2
2006 377,2006,1,1,2,8,0,0
2006 378,2006,1,0,1,0,1,1
2006 379,2006,0,0,2,0,0,0
2006 380,2006,1,1,1,1,0,1
2006 381,2006,1,1,2,1,0,2
2006 382,2006,2,1,1,1,0,2
2006 383,2006,0,0,1,0,0,0
2006 384,2006,2,1,2,1,2,3
2006 385,2006,0,0,2,0,0,0
2006 386,2006,1,2,2,2,2,9
2006 387,2006,2,1,1,2,1,1
2006 388,2006,2,1,2,2,1,2
2006 389,2006,0,0,2,0,0,0
2006 390,2006,1,1,1,2,1,1
2006 391,2006,2,2,1,1,3,1
2006 392,2006,2,1,2,1,2,2
2006 393,2006,1,1,2,1,0,1
2006 394,2006,1,1,2,1,0,2
2006 395,2006,1,1,2,1,1,0
2006 396,2006,1,0,2,0,1,1
2006 397,2006,1,0,1,0,1,2
2006 398,2006,1,0,1,0,1,2
2006 399,2006,1,0,1,0,2,2
2006 400,2006,0,0,1,0,0,0
2006 401,2006,0,0,2,0,0,0
2006 402,2006,0,0,1,0,0,0
2006 403,2006,1,1,2,1,0,0
2006 404,2006,1,0,1,0,2,2
2006 405,2006,2,2,1,2,0,1
2006 406,2006,2,1,1,1,0,2
2006 407,2006,1,1,2,1,2,2
2006 408,2006,2,1,1,1,1,1
2006 409,2006,2,0,2,0,1,0
2006 410,2006,2,1,2,1,2,2
2006 411,2006,0,0,1,0,0,0
2006 412,2006,2,1,2,1,0,2
2006 413,2006,1,0,2,0,1,2
2006 414,2006,8,1,2,1,2,2
2006 415,2006,0,0,1,0,0,0
2006 416,2006,2,0,1,0,1,1
2006 417,2006,2,0,2,0,2,2
