      CASEID, YEAR, CAPPUN, GUNLAW, SEX, ABRAPE, CONFINAN, SATJOB
20064408,2006,1,1,2,1,0,1
20064409,2006,0,0,1,0,0,0
20064410,2006,2,0,2,0,1,0
20064411,2006,1,1,2,1,1,1
20064412,2006,0,0,2,0,0,0
20064413,2006,2,0,1,0,1,1
20064414,2006,2,1,2,1,2,1
20064415,2006,2,1,1,1,0,2
20064416,2006,0,0,2,0,0,0
20064417,2006,1,1,2,1,1,4
20064418,2006,2,1,2,1,0,3
20064419,2006,2,0,2,0,2,0
20064420,2006,0,0,2,0,0,0
20064421,2006,1,1,2,1,0,3
20064422,2006,0,0,2,0,0,0
20064423,2006,1,0,1,0,2,0
20064424,2006,8,0,1,0,2,1
20064425,2006,1,0,1,0,2,1
20064426,2006,8,2,2,2,1,0
20064427,2006,0,0,2,0,0,0
20064428,2006,0,0,1,0,0,0
20064429,2006,2,1,2,1,0,0
20064430,2006,1,0,1,0,2,0
20064431,2006,0,0,1,0,0,0
20064432,2006,0,0,1,0,0,0
20064433,2006,0,0,2,0,0,0
20064434,2006,0,0,2,0,0,0
20064435,2006,0,0,2,0,0,0
20064436,2006,1,1,1,2,0,0
20064437,2006,0,0,1,0,0,0
20064438,2006,1,2,2,2,0,1
20064439,2006,1,1,2,1,0,1
20064440,2006,1,1,1,1,0,4
20064441,2006,0,0,1,0,0,0
20064442,2006,1,0,1,0,2,3
20064443,2006,1,1,1,8,1,0
20064444,2006,0,0,1,0,0,0
20064445,2006,1,0,2,0,2,1
20064446,2006,1,1,2,1,2,1
20064447,2006,2,0,1,0,1,1
20064448,2006,1,1,2,1,0,2
20064449,2006,2,1,1,2,0,2
20064450,2006,2,0,2,0,2,2
20064451,2006,1,0,2,0,1,9
20064452,2006,8,1,2,1,0,1
20064453,2006,1,1,1,1,0,3
20064454,2006,0,0,1,0,0,0
20064455,2006,1,0,2,0,2,2
20064456,2006,2,1,2,1,2,0
20064457,2006,1,0,2,0,2,1
20064458,2006,0,0,1,0,0,0
20064459,2006,2,1,2,1,0,0
20064460,2006,0,0,2,0,0,0
20064461,2006,1,1,1,1,2,1
20064462,2006,1,0,1,0,2,1
20064463,2006,0,0,2,0,0,0
20064464,2006,0,0,2,0,0,0
20064465,2006,1,9,1,9,0,0
20064466,2006,0,0,1,0,0,0
20064467,2006,0,0,1,0,0,0
20064468,2006,1,2,2,1,2,0
20064469,2006,2,0,2,0,2,3
20064470,2006,2,1,2,1,2,1
20064471,2006,1,1,2,1,1,1
20064472,2006,2,2,1,1,3,2
20064473,2006,1,0,1,0,1,3
20064474,2006,1,0,1,0,1,1
20064475,2006,1,0,1,0,3,2
20064476,2006,1,1,1,1,1,0
20064477,2006,1,0,2,0,1,2
20064478,2006,0,0,2,0,0,0
20064479,2006,0,0,2,0,0,0
20064480,2006,2,1,2,2,0,0
20064481,2006,1,1,2,1,2,2
20064482,2006,0,0,1,0,0,0
20064483,2006,2,0,2,0,2,3
20064484,2006,0,0,1,0,0,0
20064485,2006,1,2,1,1,1,1
20064486,2006,2,1,1,1,1,0
20064487,2006,1,0,2,0,2,1
20064488,2006,0,0,2,0,0,0
20064489,2006,2,0,2,0,2,1
20064490,2006,1,2,1,1,2,1
20064491,2006,2,2,2,1,2,2
20064492,2006,1,0,2,0,1,0
20064493,2006,1,1,2,1,0,1
20064494,2006,2,1,1,1,1,1
20064495,2006,0,0,2,0,0,0
20064496,2006,0,0,1,0,0,0
20064497,2006,0,0,1,0,0,0
20064498,2006,1,2,1,2,0,0
20064499,2006,2,0,2,0,8,0
20064500,2006,1,1,2,2,0,8
20064501,2006,2,0,1,0,2,2
20064502,2006,2,0,2,0,2,1
20064503,2006,0,0,2,0,0,0
20064504,2006,0,0,2,0,0,0
20064505,2006,1,1,2,2,0,3
20064506,2006,1,0,1,0,2,2
20064507,2006,1,0,2,0,3,0
20064508,2006,0,0,2,0,0,0
20064509,2006,8,0,2,0,2,3
20064510,2006,1,0,1,0,2,1
2004   1,2004,0,0,2,0,0,0
2004   2,2004,0,0,2,0,0,2
2004   3,2004,0,0,1,0,0,0
2004   4,2004,2,0,1,0,3,1
2004   5,2004,0,0,2,0,0,0
2004   6,2004,1,1,1,1,0,2
2004   7,2004,1,1,1,1,2,1
2004   8,2004,0,0,1,0,0,0
2004   9,2004,1,1,1,1,2,1
2004  10,2004,0,0,1,0,0,4
2004  11,2004,0,0,1,0,0,0
2004  12,2004,0,0,2,0,0,0
2004  13,2004,0,0,1,0,0,0
2004  14,2004,2,1,1,1,2,1
2004  15,2004,2,1,1,2,0,2
2004  16,2004,0,0,1,0,0,3
2004  17,2004,0,0,2,0,0,0
2004  18,2004,2,2,1,2,0,3
2004  19,2004,0,0,2,0,0,0
2004  20,2004,0,0,1,0,0,0
2004  21,2004,2,1,2,8,3,2
2004  22,2004,0,0,2,0,0,9
2004  23,2004,0,0,1,0,0,0
2004  24,2004,1,0,1,0,1,0
2004  25,2004,1,1,1,1,2,0
2004  26,2004,0,0,2,0,0,0
2004  27,2004,0,0,2,0,0,0
2004  28,2004,1,1,1,1,1,0
2004  29,2004,1,1,1,1,2,0
2004  30,2004,0,0,1,0,0,0
2004  31,2004,1,0,2,0,1,0
2004  32,2004,0,0,1,0,0,0
2004  33,2004,2,0,1,0,3,3
2004  34,2004,1,1,1,1,0,2
2004  35,2004,0,0,2,0,0,0
2004  36,2004,0,0,2,0,0,9
2004  37,2004,2,1,2,1,2,1
2004  38,2004,0,0,1,0,0,0
2004  39,2004,2,1,2,1,0,2
2004  40,2004,2,0,1,0,3,4
2004  41,2004,1,0,2,0,3,1
2004  42,2004,1,1,1,1,2,4
2004  43,2004,2,1,1,2,0,3
2004  44,2004,1,1,2,1,0,1
2004  45,2004,2,0,1,0,1,0
2004  46,2004,0,0,1,0,0,2
2004  47,2004,1,1,2,1,0,1
2004  48,2004,0,0,1,0,0,2
2004  49,2004,0,0,2,0,0,2
2004  50,2004,2,0,2,0,2,2
2004  51,2004,1,1,1,1,0,1
2004  52,2004,0,0,1,0,0,0
2004  53,2004,0,0,2,0,0,0
2004  54,2004,0,0,1,0,0,0
2004  55,2004,0,0,1,0,0,2
2004  56,2004,2,1,2,2,8,1
2004  57,2004,0,0,1,0,0,0
2004  58,2004,1,1,2,2,0,1
2004  59,2004,0,0,2,0,0,3
2004  60,2004,0,0,1,0,0,0
2004  61,2004,0,0,1,0,0,0
2004  62,2004,0,0,1,0,0,0
2004  63,2004,0,0,2,0,0,0
2004  64,2004,1,0,1,0,2,1
2004  65,2004,0,0,1,0,0,0
2004  66,2004,0,0,2,0,0,2
2004  67,2004,8,1,2,1,2,0
2004  68,2004,1,0,2,0,1,3
2004  69,2004,0,0,2,0,0,1
2004  70,2004,0,0,2,0,0,1
2004  71,2004,0,0,2,0,0,0
2004  72,2004,0,0,2,0,0,0
2004  73,2004,2,1,2,1,0,2
2004  74,2004,0,0,2,0,0,0
2004  75,2004,0,0,2,0,0,2
2004  76,2004,2,0,2,0,2,1
2004  77,2004,2,0,1,0,2,1
2004  78,2004,1,0,1,0,1,1
2004  79,2004,0,0,2,0,0,0
2004  80,2004,0,0,2,0,0,0
2004  81,2004,2,1,2,2,2,1
2004  82,2004,8,1,1,2,2,1
2004  83,2004,0,0,2,0,0,0
2004  84,2004,0,0,1,0,0,0
2004  85,2004,1,1,1,2,0,2
2004  86,2004,2,0,1,0,2,2
2004  87,2004,0,0,1,0,0,0
2004  88,2004,2,1,2,1,2,8
2004  89,2004,0,0,1,0,0,3
2004  90,2004,0,0,2,0,0,0
2004  91,2004,1,0,2,0,2,2
2004  92,2004,0,0,1,0,0,1
2004  93,2004,0,0,1,0,0,0
2004  94,2004,0,0,2,0,0,0
2004  95,2004,0,0,2,0,0,1
2004  96,2004,0,0,2,0,0,0
2004  97,2004,8,1,2,8,0,1
2004  98,2004,8,1,1,1,1,0
2004  99,2004,0,0,1,0,0,0
2004 100,2004,1,1,2,1,0,4
2004 101,2004,1,1,1,1,1,1
2004 102,2004,8,1,2,1,0,1
2004 103,2004,0,0,2,0,0,0
2004 104,2004,1,0,2,0,3,2
2004 105,2004,0,0,2,0,0,0
2004 106,2004,0,0,2,0,0,1
2004 107,2004,2,0,1,0,1,2
2004 108,2004,0,0,1,0,0,0
2004 109,2004,2,1,1,1,0,1
2004 110,2004,0,0,2,0,0,0
2004 111,2004,1,1,1,1,0,2
2004 112,2004,0,0,1,0,0,2
2004 113,2004,0,0,2,0,0,0
2004 114,2004,2,2,2,2,0,0
2004 115,2004,1,1,2,1,0,2
2004 116,2004,0,0,2,0,0,0
2004 117,2004,0,0,1,0,0,0
2004 118,2004,2,1,1,2,0,1
2004 119,2004,2,0,2,0,3,2
2004 120,2004,0,0,1,0,0,0
2004 121,2004,2,1,2,2,2,2
2004 122,2004,0,0,1,0,0,1
2004 123,2004,2,2,1,1,2,1
2004 124,2004,1,1,1,2,2,2
2004 125,2004,0,0,2,0,0,0
2004 126,2004,1,1,1,1,0,1
2004 127,2004,2,0,1,0,3,1
2004 128,2004,2,1,2,1,2,2
2004 129,2004,0,0,1,0,0,0
2004 130,2004,0,0,1,0,0,0
2004 131,2004,0,0,2,0,0,3
2004 132,2004,2,1,2,1,1,2
2004 133,2004,0,0,1,0,0,0
2004 134,2004,1,0,1,0,2,2
2004 135,2004,0,0,1,0,0,0
2004 136,2004,0,0,2,0,0,1
2004 137,2004,1,0,1,0,2,2
2004 138,2004,1,1,1,2,0,2
2004 139,2004,0,0,1,0,0,0
2004 140,2004,0,0,2,0,0,0
2004 141,2004,1,0,2,0,2,2
2004 142,2004,1,1,2,1,0,1
2004 143,2004,0,0,2,0,0,2
2004 144,2004,0,0,2,0,0,0
2004 145,2004,1,0,1,0,2,1
2004 146,2004,0,0,1,0,0,1
2004 147,2004,1,1,1,1,0,1
2004 148,2004,2,1,1,1,0,0
2004 149,2004,0,0,1,0,0,0
2004 150,2004,2,1,2,1,3,2
2004 151,2004,0,0,1,0,0,0
2004 152,2004,0,0,2,0,0,0
2004 153,2004,2,0,2,0,3,2
2004 154,2004,8,1,2,1,0,0
2004 155,2004,0,0,1,0,0,0
2004 156,2004,0,0,1,0,0,0
2004 157,2004,1,0,2,0,3,2
2004 158,2004,2,1,2,1,3,2
2004 159,2004,0,0,1,0,0,0
2004 160,2004,0,0,1,0,0,0
2004 161,2004,1,1,1,1,0,2
2004 162,2004,1,0,2,0,2,1
2004 163,2004,0,0,1,0,0,0
2004 164,2004,1,1,1,2,1,2
2004 165,2004,1,1,2,1,0,1
2004 166,2004,0,0,1,0,0,2
2004 167,2004,1,2,1,2,2,0
2004 168,2004,0,0,2,0,0,0
2004 169,2004,0,0,1,0,0,0
2004 170,2004,9,0,1,0,2,1
2004 171,2004,0,0,1,0,0,0
2004 172,2004,1,1,1,1,2,4
2004 173,2004,1,0,1,0,3,1
2004 174,2004,8,1,2,1,0,2
2004 175,2004,2,1,2,1,0,0
2004 176,2004,0,0,2,0,0,1
2004 177,2004,0,0,1,0,0,0
2004 178,2004,0,0,1,0,0,0
2004 179,2004,1,0,1,0,2,0
2004 180,2004,1,1,1,1,1,1
2004 181,2004,0,0,2,0,0,0
2004 182,2004,0,0,1,0,0,0
2004 183,2004,0,0,1,0,0,0
2004 184,2004,0,0,2,0,0,0
2004 185,2004,0,0,1,0,0,0
2004 186,2004,1,0,1,0,1,1
2004 187,2004,1,1,1,2,2,0
2004 188,2004,1,1,2,1,3,0
2004 189,2004,0,0,1,0,0,2
2004 190,2004,1,2,2,1,2,1
2004 191,2004,0,0,2,0,0,0
2004 192,2004,1,1,1,1,2,0
2004 193,2004,0,0,1,0,0,0
2004 194,2004,0,0,1,0,0,0
2004 195,2004,1,1,2,1,2,4
2004 196,2004,1,0,1,0,2,1
2004 197,2004,1,1,1,1,0,1
2004 198,2004,0,0,1,0,0,2
2004 199,2004,0,0,2,0,0,0
2004 200,2004,1,0,2,0,2,3
2004 201,2004,1,1,2,1,1,1
2004 202,2004,0,0,1,0,0,0
2004 203,2004,0,0,1,0,0,0
2004 204,2004,0,0,2,0,0,0
2004 205,2004,0,0,1,0,0,3
2004 206,2004,0,0,1,0,0,0
2004 207,2004,0,0,1,0,0,1
2004 208,2004,9,1,2,2,0,1
2004 209,2004,2,1,2,1,1,2
2004 210,2004,0,0,1,0,0,0
2004 211,2004,0,0,1,0,0,0
2004 212,2004,0,0,1,0,0,1
2004 213,2004,2,0,1,0,2,0
2004 214,2004,0,0,2,0,0,1
2004 215,2004,1,1,1,1,1,1
2004 216,2004,0,0,2,0,0,2
2004 217,2004,2,2,2,2,0,1
2004 218,2004,0,0,2,0,0,0
2004 219,2004,1,0,1,0,2,0
2004 220,2004,0,0,1,0,0,0
2004 221,2004,2,1,1,2,0,2
2004 222,2004,8,1,1,1,0,3
2004 223,2004,0,0,1,0,0,1
2004 224,2004,2,0,2,0,2,1
2004 225,2004,0,0,1,0,0,0
2004 226,2004,2,1,2,2,2,2
2004 227,2004,0,0,1,0,0,0
2004 228,2004,1,0,1,0,2,2
2004 229,2004,0,0,2,0,0,0
2004 230,2004,0,0,2,0,0,0
2004 231,2004,1,0,2,0,2,2
2004 232,2004,1,1,1,1,2,3
2004 233,2004,0,0,1,0,0,0
2004 234,2004,1,2,2,1,0,1
2004 235,2004,0,0,2,0,0,0
2004 236,2004,2,1,1,1,0,2
2004 237,2004,0,0,2,0,0,1
2004 238,2004,0,0,2,0,0,0
2004 239,2004,0,0,2,0,0,0
2004 240,2004,0,0,1,0,0,0
2004 241,2004,9,9,2,9,2,1
2004 242,2004,2,1,1,1,0,1
2004 243,2004,0,0,1,0,0,0
2004 244,2004,2,0,1,0,2,2
2004 245,2004,2,2,2,1,0,1
2004 246,2004,1,1,2,1,0,1
2004 247,2004,1,1,2,8,2,9
2004 248,2004,0,0,2,0,0,0
2004 249,2004,1,0,2,0,1,1
2004 250,2004,0,0,2,0,0,0
2004 251,2004,1,1,2,1,0,4
2004 252,2004,0,0,1,0,0,0
2004 253,2004,0,0,2,0,0,1
2004 254,2004,1,0,2,0,1,0
2004 255,2004,0,0,1,0,0,0
2004 256,2004,0,0,2,0,0,0
2004 257,2004,2,1,2,1,1,1
2004 258,2004,0,0,1,0,0,1
2004 259,2004,0,0,2,0,0,1
2004 260,2004,0,0,1,0,0,0
2004 261,2004,0,0,2,0,0,0
2004 262,2004,0,0,1,0,0,3
2004 263,2004,2,1,1,1,0,4
2004 264,2004,0,0,1,0,0,0
2004 265,2004,1,0,2,0,1,2
2004 266,2004,0,0,2,0,0,0
2004 267,2004,0,0,2,0,0,0
2004 268,2004,0,0,1,0,0,0
2004 269,2004,0,0,2,0,0,0
2004 270,2004,0,0,2,0,0,0
2004 271,2004,0,0,1,0,0,0
2004 272,2004,1,1,2,1,2,2
2004 273,2004,0,0,2,0,0,0
2004 274,2004,1,1,2,1,0,2
2004 275,2004,1,1,2,1,1,2
2004 276,2004,0,0,2,0,0,0
2004 277,2004,0,0,1,0,0,1
2004 278,2004,0,0,2,0,0,0
2004 279,2004,8,1,2,1,1,2
2004 280,2004,0,0,2,0,0,3
2004 281,2004,0,0,1,0,0,0
2004 282,2004,1,0,2,0,2,1
2004 283,2004,2,1,2,1,1,1
2004 284,2004,0,0,2,0,0,1
2004 285,2004,0,0,1,0,0,0
2004 286,2004,2,1,2,2,2,2
2004 287,2004,0,0,2,0,0,2
2004 288,2004,1,1,2,2,2,2
2004 289,2004,0,0,2,0,0,0
2004 290,2004,0,0,2,0,0,1
2004 291,2004,2,1,2,1,0,2
2004 292,2004,0,0,2,0,0,0
2004 293,2004,1,1,2,1,1,0
2004 294,2004,0,0,1,0,0,0
2004 295,2004,1,0,2,0,3,0
2004 296,2004,0,0,2,0,0,0
2004 297,2004,1,1,2,1,0,1
2004 298,2004,1,1,1,1,2,0
2004 299,2004,0,0,1,0,0,0
2004 300,2004,0,0,1,0,0,0
2004 301,2004,0,0,2,0,0,2
2004 302,2004,0,0,2,0,0,0
2004 303,2004,1,1,2,8,2,3
2004 304,2004,1,1,2,1,1,0
2004 305,2004,0,0,1,0,0,0
2004 306,2004,1,0,2,0,1,1
2004 307,2004,2,1,2,1,0,2
2004 308,2004,2,0,2,0,2,1
2004 309,2004,0,0,1,0,0,0
2004 310,2004,2,0,2,0,2,2
2004 311,2004,2,1,2,1,2,0
2004 312,2004,1,1,2,1,0,2
2004 313,2004,0,0,1,0,0,0
2004 314,2004,0,0,1,0,0,0
2004 315,2004,1,1,1,1,0,2
2004 316,2004,0,0,2,0,0,0
2004 317,2004,0,0,1,0,0,3
2004 318,2004,1,1,2,1,2,2
2004 319,2004,1,0,2,0,2,2
2004 320,2004,0,0,1,0,0,0
2004 321,2004,8,1,1,2,2,1
2004 322,2004,0,0,1,0,0,0
2004 323,2004,0,0,2,0,0,0
2004 324,2004,0,0,2,0,0,1
2004 325,2004,2,1,2,1,0,2
2004 326,2004,0,0,1,0,0,0
2004 327,2004,2,1,2,2,0,1
2004 328,2004,0,0,2,0,0,0
2004 329,2004,2,1,2,1,2,3
2004 330,2004,0,0,1,0,0,2
2004 331,2004,0,0,2,0,0,0
2004 332,2004,1,0,1,0,1,2
2004 333,2004,0,0,1,0,0,0
2004 334,2004,1,1,2,1,2,1
2004 335,2004,0,0,2,0,0,0
2004 336,2004,0,0,1,0,0,0
2004 337,2004,0,0,2,0,0,0
2004 338,2004,1,1,1,1,0,0
2004 339,2004,0,0,1,0,0,0
2004 340,2004,0,0,2,0,0,0
2004 341,2004,1,1,2,1,2,3
2004 342,2004,0,0,1,0,0,1
2004 343,2004,1,0,2,0,2,4
2004 344,2004,0,0,2,0,0,0
2004 345,2004,0,0,2,0,0,1
2004 346,2004,0,0,1,0,0,0
2004 347,2004,1,0,1,0,1,2
2004 348,2004,1,1,2,1,0,2
2004 349,2004,0,0,2,0,0,2
2004 350,2004,0,0,1,0,0,0
2004 351,2004,1,0,2,0,2,2
2004 352,2004,1,0,2,0,2,1
2004 353,2004,0,0,2,0,0,0
2004 354,2004,0,0,1,0,0,0
2004 355,2004,0,0,2,0,0,2
2004 356,2004,0,0,1,0,0,0
2004 357,2004,1,1,2,1,1,0
2004 358,2004,0,0,1,0,0,0
2004 359,2004,0,0,2,0,0,0
2004 360,2004,0,0,2,0,0,0
2004 361,2004,0,0,2,0,0,0
2004 362,2004,1,1,1,1,2,3
2004 363,2004,0,0,2,0,0,1
2004 364,2004,1,1,2,1,0,2
2004 365,2004,0,0,1,0,0,1
2004 366,2004,0,0,1,0,0,0
2004 367,2004,1,1,2,2,1,2
2004 368,2004,1,0,1,0,1,2
2004 369,2004,0,0,1,0,0,0
2004 370,2004,0,0,2,0,0,0
2004 371,2004,1,0,2,0,2,1
2004 372,2004,0,0,2,0,0,0
2004 373,2004,0,0,2,0,0,0
2004 374,2004,0,0,1,0,0,0
2004 375,2004,0,0,2,0,0,2
2004 376,2004,1,1,1,1,0,1
2004 377,2004,0,0,1,0,0,0
2004 378,2004,0,0,2,0,0,0
2004 379,2004,8,0,1,0,1,2
2004 380,2004,1,1,1,1,2,4
2004 381,2004,0,0,2,0,0,0
2004 382,2004,0,0,1,0,0,0
2004 383,2004,2,0,2,0,2,1
2004 384,2004,1,1,1,1,0,1
2004 385,2004,0,0,2,0,0,1
2004 386,2004,0,0,1,0,0,0
2004 387,2004,0,0,2,0,0,0
2004 388,2004,0,0,2,0,0,8
2004 389,2004,2,1,2,2,0,2
2004 390,2004,0,0,1,0,0,0
2004 391,2004,0,0,2,0,0,0
2004 392,2004,0,0,1,0,0,0
2004 393,2004,0,0,1,0,0,1
2004 394,2004,0,0,1,0,0,0
2004 395,2004,8,0,1,0,1,4
2004 396,2004,0,0,2,0,0,3
2004 397,2004,0,0,2,0,0,0
2004 398,2004,2,1,2,1,0,2
2004 399,2004,1,1,1,1,0,1
2004 400,2004,1,1,1,1,2,1
2004 401,2004,0,0,2,0,0,1
2004 402,2004,0,0,1,0,0,0
2004 403,2004,0,0,2,0,0,1
2004 404,2004,1,2,2,1,1,1
2004 405,2004,2,1,1,1,3,9
2004 406,2004,2,0,1,0,3,1
2004 407,2004,0,0,1,0,0,0
2004 408,2004,9,2,1,1,2,1
2004 409,2004,0,0,2,0,0,1
2004 410,2004,0,0,1,0,0,0
2004 411,2004,1,1,2,1,0,4
2004 412,2004,0,0,2,0,0,0
2004 413,2004,0,0,2,0,0,0
2004 414,2004,0,0,2,0,0,0
2004 415,2004,1,0,2,0,2,1
2004 416,2004,2,1,2,1,0,2
2004 417,2004,0,0,1,0,0,2
2004 418,2004,0,0,2,0,0,0
2004 419,2004,0,0,2,0,0,0
2004 420,2004,0,0,1,0,0,0
2004 421,2004,2,1,2,8,0,8
2004 422,2004,0,0,2,0,0,0
2004 423,2004,8,1,2,1,0,1
2004 424,2004,0,0,1,0,0,1
2004 425,2004,0,0,1,0,0,0
2004 426,2004,2,0,1,0,3,2
2004 427,2004,0,0,2,0,0,0
2004 428,2004,2,1,1,1,1,1
2004 429,2004,2,1,2,2,1,1
2004 430,2004,8,1,1,1,0,0
2004 431,2004,0,0,2,0,0,0
2004 432,2004,2,1,1,1,0,0
2004 433,2004,0,0,1,0,0,2
2004 434,2004,0,0,1,0,0,1
2004 435,2004,0,0,2,0,0,0
2004 436,2004,0,0,1,0,0,0
2004 437,2004,1,0,1,0,2,2
2004 438,2004,1,1,1,1,0,1
2004 439,2004,1,1,2,1,0,1
2004 440,2004,1,1,1,1,0,2
2004 441,2004,0,0,1,0,0,0
2004 442,2004,0,0,2,0,0,0
2004 443,2004,0,0,1,0,0,0
2004 444,2004,1,1,2,1,3,2
2004 445,2004,0,0,2,0,0,0
2004 446,2004,0,0,2,0,0,0
2004 447,2004,0,0,1,0,0,0
2004 448,2004,0,0,1,0,0,1
2004 449,2004,0,0,2,0,0,0
2004 450,2004,0,0,2,0,0,0
2004 451,2004,1,1,1,2,0,1
2004 452,2004,1,1,1,1,2,0
2004 453,2004,0,0,1,0,0,0
2004 454,2004,1,1,2,1,3,4
2004 455,2004,2,2,2,1,2,9
2004 456,2004,2,0,2,0,2,3
2004 457,2004,0,0,2,0,0,4
2004 458,2004,1,1,2,1,2,1
2004 459,2004,1,0,2,0,2,0
2004 460,2004,0,0,1,0,0,0
2004 461,2004,2,1,1,1,0,3
2004 462,2004,0,0,1,0,0,1
2004 463,2004,1,1,1,2,0,1
2004 464,2004,1,1,2,1,1,1
2004 465,2004,0,0,2,0,0,0
2004 466,2004,0,0,2,0,0,0
2004 467,2004,0,0,1,0,0,0
2004 468,2004,0,0,2,0,0,2
2004 469,2004,1,1,2,2,0,1
2004 470,2004,0,0,2,0,0,1
2004 471,2004,0,0,2,0,0,0
2004 472,2004,0,0,2,0,0,0
2004 473,2004,8,1,1,1,3,1
2004 474,2004,0,0,2,0,0,0
2004 475,2004,0,0,1,0,0,0
2004 476,2004,0,0,2,0,0,0
2004 477,2004,0,0,2,0,0,0
2004 478,2004,0,0,2,0,0,0
2004 479,2004,1,0,2,0,3,4
2004 480,2004,1,1,2,1,2,1
2004 481,2004,8,1,1,1,0,2
2004 482,2004,1,0,1,0,2,2
2004 483,2004,2,2,2,1,0,0
2004 484,2004,2,1,1,1,2,1
2004 485,2004,0,0,2,0,0,0
2004 486,2004,0,0,1,0,0,1
2004 487,2004,0,0,2,0,0,2
2004 488,2004,0,0,1,0,0,0
2004 489,2004,0,0,2,0,0,0
2004 490,2004,0,0,2,0,0,0
2004 491,2004,2,1,2,2,2,2
2004 492,2004,0,0,1,0,0,0
2004 493,2004,1,1,1,1,0,4
2004 494,2004,2,2,2,1,0,2
2004 495,2004,2,0,2,0,2,1
2004 496,2004,2,1,2,1,2,1
2004 497,2004,1,1,1,1,0,2
2004 498,2004,8,0,2,0,2,0
2004 499,2004,0,0,2,0,0,0
2004 500,2004,2,1,2,1,8,9
2004 501,2004,0,0,2,0,0,2
2004 502,2004,0,0,2,0,0,0
2004 503,2004,1,0,2,0,3,1
2004 504,2004,0,0,1,0,0,2
2004 505,2004,1,1,2,1,0,1
2004 506,2004,2,2,1,1,0,2
2004 507,2004,1,0,2,0,3,1
2004 508,2004,1,1,2,1,2,0
2004 509,2004,0,0,2,0,0,0
2004 510,2004,0,0,2,0,0,0
2004 511,2004,0,0,1,0,0,0
2004 512,2004,0,0,1,0,0,0
2004 513,2004,1,0,2,0,2,0
2004 514,2004,0,0,2,0,0,0
2004 515,2004,0,0,2,0,0,0
2004 516,2004,0,0,2,0,0,0
2004 517,2004,2,1,2,1,0,2
2004 518,2004,2,8,2,2,2,3
2004 519,2004,0,0,2,0,0,0
2004 520,2004,1,0,1,0,2,0
2004 521,2004,8,1,1,1,2,0
2004 522,2004,0,0,2,0,0,1
2004 523,2004,0,0,2,0,0,0
2004 524,2004,1,0,2,0,2,0
2004 525,2004,0,0,2,0,0,0
2004 526,2004,2,0,2,0,1,2
2004 527,2004,1,1,1,2,2,2
2004 528,2004,0,0,1,0,0,0
2004 529,2004,2,2,2,2,1,1
2004 530,2004,0,0,2,0,0,0
2004 531,2004,1,1,2,1,0,1
2004 532,2004,1,0,1,0,2,1
2004 533,2004,1,1,1,1,2,1
2004 534,2004,0,0,1,0,0,2
2004 535,2004,0,0,1,0,0,0
2004 536,2004,1,2,1,1,8,0
2004 537,2004,0,0,1,0,0,0
2004 538,2004,2,2,1,2,1,1
2004 539,2004,0,0,1,0,0,0
2004 540,2004,0,0,2,0,0,1
2004 541,2004,1,0,2,0,1,1
2004 542,2004,0,0,2,0,0,1
2004 543,2004,1,1,2,2,2,1
2004 544,2004,0,0,2,0,0,0
2004 545,2004,0,0,1,0,0,0
2004 546,2004,0,0,1,0,0,0
2004 547,2004,1,0,1,0,1,1
2004 548,2004,1,2,2,2,0,1
2004 549,2004,1,0,2,0,1,1
2004 550,2004,1,0,1,0,1,1
2004 551,2004,1,1,2,1,0,2
2004 552,2004,0,0,1,0,0,0
2004 553,2004,2,0,1,0,2,2
2004 554,2004,0,0,1,0,0,0
2004 555,2004,0,0,1,0,0,2
2004 556,2004,0,0,2,0,0,1
2004 557,2004,2,0,1,0,3,1
2004 558,2004,1,2,1,1,2,1
2004 559,2004,0,0,1,0,0,0
2004 560,2004,0,0,2,0,0,0
2004 561,2004,0,0,2,0,0,0
2004 562,2004,1,1,1,1,0,1
2004 563,2004,0,0,1,0,0,0
2004 564,2004,0,0,1,0,0,0
2004 565,2004,2,0,1,0,2,1
2004 566,2004,0,0,1,0,0,0
2004 567,2004,0,0,2,0,0,0
2004 568,2004,0,0,1,0,0,0
2004 569,2004,0,0,1,0,0,0
2004 570,2004,1,1,1,1,0,2
2004 571,2004,1,1,1,1,0,1
2004 572,2004,0,0,1,0,0,1
2004 573,2004,1,1,1,1,2,2
2004 574,2004,1,0,2,0,2,1
2004 575,2004,8,1,2,1,1,1
2004 576,2004,1,2,1,1,2,2
2004 577,2004,0,0,2,0,0,0
2004 578,2004,1,2,1,1,0,3
2004 579,2004,0,0,1,0,0,1
2004 580,2004,0,0,1,0,0,0
2004 581,2004,2,0,1,0,1,1
2004 582,2004,0,0,1,0,0,0
2004 583,2004,1,2,1,2,0,0
2004 584,2004,1,1,1,1,0,1
2004 585,2004,1,0,1,0,2,0
2004 586,2004,2,0,1,0,3,1
2004 587,2004,0,0,2,0,0,0
2004 588,2004,2,1,1,1,1,2
2004 589,2004,0,0,1,0,0,2
2004 590,2004,0,0,1,0,0,0
2004 591,2004,1,2,1,1,0,3
2004 592,2004,1,1,2,1,2,1
2004 593,2004,0,0,1,0,0,0
2004 594,2004,2,1,2,1,0,1
2004 595,2004,0,0,1,0,0,0
2004 596,2004,1,0,2,0,1,1
2004 597,2004,2,0,1,0,2,2
2004 598,2004,0,0,1,0,0,0
2004 599,2004,0,0,1,0,0,2
