"F","A","M","E","I","U"
6,44,24,0,"1","0"
6,38,21,4,"0","0"
7,36,10,4,"1","0"
5,39,12,0,"1","0"
4,42,15,8,"1","0"
7,43,17,0,"1","0"
12,42,15,4,"1","0"
5,36,23,10,"1","0"
0,37,19,8,"1","0"
10,43,16,1,"1","0"
8,37,18,0,"1","0"
3,38,16,5,"1","0"
4,36,21,6,"0","0"
6,41,20,8,"0","0"
7,35,18,5,"0","0"
2,45,12,4,"0","0"
5,40,24,8,"0","0"
11,45,18,7,"0","0"
5,42,24,4,"0","0"
6,42,17,3,"0","0"
7,48,20,5,"0","0"
4,44,19,5,"0","0"
6,47,24,5,"0","0"
10,46,17,8,"0","0"
7,49,16,0,"0","0"
8,36,19,8,"0","0"
8,48,17,5,"0","0"
2,35,23,5,"0","0"
1,41,25,6,"0","0"
6,46,19,5,"0","0"
0,35,29,4,"0","0"
5,37,22,8,"0","0"
8,38,16,8,"0","0"
7,37,15,8,"1","0"
3,39,15,0,"1","0"
6,41,15,4,"1","0"
10,42,14,0,"1","0"
8,38,15,4,"1","0"
7,38,16,0,"1","0"
0,42,20,0,"1","0"
5,38,18,6,"0","0"
8,40,34,0,"1","1"
10,41,14,1,"1","0"
4,39,13,3,"1","0"
4,36,27,10,"1","0"
9,42,14,6,"1","0"
6,40,17,0,"1","0"
7,37,15,6,"1","0"
12,36,14,2,"1","0"
5,35,16,0,"1","0"
4,35,19,0,"1","0"
7,36,16,8,"1","0"
2,35,10,8,"0","1"
10,40,13,7,"0","1"
7,42,16,8,"0","1"
7,38,18,8,"0","1"
9,36,16,6,"0","1"
8,45,13,0,"0","1"
6,45,21,16,"0","1"
7,44,20,6,"0","1"
9,45,19,3,"0","1"
7,41,14,4,"1","1"
5,36,17,5,"1","1"
3,36,20,10,"1","1"
5,39,21,8,"1","1"
6,42,15,0,"1","1"
5,44,19,5,"1","1"
2,46,13,5,"0","1"
0,44,14,5,"0","0"
6,36,19,8,"0","0"
9,47,20,4,"0","0"
9,44,19,5,"0","0"
11,37,15,6,"1","0"
6,47,21,6,"1","0"
7,45,12,0,"1","0"
8,45,13,0,"1","0"
9,43,13,0,"1","0"
7,38,15,2,"1","0"
